ValueMeaning	LabelValueMeaning	Referentiel	url	TypeConceptualDomain	FormatConceptualDomain	ConceptualDomain
HL7:M	Male	FHIR (HL7)	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	FHIR:AdministrativeGender
HL7:F	Female	FHIR (HL7)	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	FHIR:AdministrativeGender
HL7:UN	Undifferentiated	FHIR (HL7)	http://hl7.org/fhir/v3/AdministrativeGender	Enumerated	String	FHIR:AdministrativeGender
UMLS:C0439673	Unknown	UMLS		Enumerated	String	FHIR:AdministrativeGender
HL7:1002-5	American Indian or Alaska Native	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:1004-1	American Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2028-9	Asian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2029-7	Asian Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2030-5	Bangladeshi	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2031-3	Bhutanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2032-1	Burmese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2033-9	Cambodian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2034-7	Chinese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2035-4	Taiwanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2036-2	Filipino	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2037-0	Hmong	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2038-8	Indonesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2039-6	Japanese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2040-4	Korean	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2041-2	Laotian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2042-0	Malaysian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2043-8	Okinawan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2044-6	Pakistani	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2045-3	Sri Lankan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2046-1	Thai	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2047-9	Vietnamese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2048-7	Iwo Jiman	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2049-5	Maldivian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2050-3	Nepalese	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2051-1	Singaporean	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2052-9	Madagascar	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2054-5	Black or African American	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2056-0	Black	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2058-6	African American	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2060-2	African	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2067-7	Bahamian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2068-5	Barbadian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2069-3	Dominican	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2070-1	Dominica Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2071-9	Haitian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2072-7	Jamaican	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2073-5	Tobagoan	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2074-3	Trinidadian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2075-0	West Indian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2076-8	Native Hawaiian or Other Pacific Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2078-4	Polynesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2085-9	Micronesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2100-6	Melanesian	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2500-7	Other Pacific Islander	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2106-3	White	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2108-9	European	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2118-8	Middle Eastern or North African	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
HL7:2129-5	Arab	FHIR (HL7) v3	https://www.hl7.org/fhir/v3/Race	Enumerated	String	FHIR:Race
UMLS:C0439673	Unknown	UMLS		Enumerated	String	FHIR:Race
UMLS:C1707251	Other cancer	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C1707251;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	UMLS:C0007465
UMLS:C3262234	Other cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C3262234;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	UMLS:C0007465
UMLS:C0679861	Complications of treatment	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0679861;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	UMLS:C0007465
UMLS:C0027651	Neoplasm	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0027651;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	UMLS:C0007465
UMLS:C0277589	Death of unknown cause	UMLS	https://uts.nlm.nih.gov/metathesaurus.html#C0277589;0;1;CUI;2016AA;EXACT_MATCH;CUI;*;	Enumerated	String	UMLS:C0007465
UMLS:C2584946	Alive (finding)	UMLS		Enumerated	String	OSIRIS:LastNewsStatus
UMLS:C1546956	Patient Outcome - Died	UMLS		Enumerated	String	OSIRIS:LastNewsStatus
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:LastNewsStatus
UMLS:C0037047	Sibling	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0030551	Parent	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0015671	Father	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0026591	Mother	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3844804	Paternal cousin	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3844805	Maternal cousin	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3242761	Maternal grandparent	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3242764	Paternal grandparent	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C1273524	Paternal grandmother	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C1273525	Maternal grandmother	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C1273523	Maternal grandfather	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C1273522	Paternal grandfather	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0337471	Grandparent	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0337577	Uncle	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3714276	Paternal uncle	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3714277	Maternal uncle	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0337576	Aunt	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3714274	Paternal aunt	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C3714275	Maternal aunt	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0337580	Cousin	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
OSIRIS:C77-6	Other	ICGC	https://github.com/icgc-dcc/dcc-docs/blob/master/docs/dictionary/release-20/donor-family.md	Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:FamilyCancerHistoryParentage
UMLS:C1882062	Neoplasm	UMLS		Enumerated	String	OSIRIS:EventType
UMLS:C2939419	Metastatic Malignant Neoplasm (NCI:C36263)	UMLS		Enumerated	String	OSIRIS:EventType
UMLS:C0521158	Recurrent tumor	UMLS		Enumerated	String	OSIRIS:EventType
UMLS:C0677930	Primary tumor	UMLS		Enumerated	String	OSIRIS:EventType
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:EventType
0	activité normale sans restriction	OMS		Enumerated	String	OMS:PerformanceStatus
1	restreint pour des activités physiques importantes, mais patient ambulant et capable de fournir un travail léger	OMS		Enumerated	String	OMS:PerformanceStatus
2	ambulant et capable de se prendre en charge, mais incapable de fournir un travail et alité pendant moins de 50 % de son temps	OMS		Enumerated	String	OMS:PerformanceStatus
3	capacité de prise en charge propre beaucoup plus limitée. Passe plus de 50 % de son temps au lit ou dans une chaise.	OMS		Enumerated	String	OMS:PerformanceStatus
4	complètement grabataire. Incapable de se prendre en charge. Le patient reste totalement confiné au lit ou dans une chaise.	OMS		Enumerated	String	OMS:PerformanceStatus
Tx	Tx	UICC		Enumerated	String	OSIRIS:T_TNM
T0	T0	UICC		Enumerated	String	OSIRIS:T_TNM
T1	T1	UICC		Enumerated	String	OSIRIS:T_TNM
T1a	T1a	UICC		Enumerated	String	OSIRIS:T_TNM
T1b	T1b	UICC		Enumerated	String	OSIRIS:T_TNM
T1c	T1c	UICC		Enumerated	String	OSIRIS:T_TNM
T2	T2	UICC		Enumerated	String	OSIRIS:T_TNM
T3	T3	UICC		Enumerated	String	OSIRIS:T_TNM
T4	T4	UICC		Enumerated	String	OSIRIS:T_TNM
T4a	T4a	UICC		Enumerated	String	OSIRIS:T_TNM
T4b	T4b	UICC		Enumerated	String	OSIRIS:T_TNM
T4c	T4c	UICC		Enumerated	String	OSIRIS:T_TNM
T4d	T4d	UICC		Enumerated	String	OSIRIS:T_TNM
Nx	Nx	UICC		Enumerated	String	OSIRIS:N_TNM
N0	N0	UICC		Enumerated	String	OSIRIS:N_TNM
N1mi	N1mi	UICC		Enumerated	String	OSIRIS:N_TNM
N1	N1	UICC		Enumerated	String	OSIRIS:N_TNM
N2	N2	UICC		Enumerated	String	OSIRIS:N_TNM
N3	N3	UICC		Enumerated	String	OSIRIS:N_TNM
Mx	Mx	UICC		Enumerated	String	OSIRIS:M_TNM
M0	M0	UICC		Enumerated	String	OSIRIS:M_TNM
M1	M1	UICC		Enumerated	String	OSIRIS:M_TNM
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:M_TNM
OSIRIS:C27-1	UICC TNM Classification 5th edition	OSIRIS		Enumerated	String	OSIRIS:TNMVersion
OSIRIS:C27-2	UICC TNM Classification 6th edition	OSIRIS		Enumerated	String	OSIRIS:TNMVersion
OSIRIS:C27-3	UICC TNM Classification 7th edition	OSIRIS		Enumerated	String	OSIRIS:TNMVersion
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:TNMVersion
c	Clinique	TNM		Enumerated	String	OSIRIS:TNMType
p	Pathologique	TNM		Enumerated	String	OSIRIS:TNMType
y	Après traitement neoadjuvant	TNM		Enumerated	String	OSIRIS:TNMType
u	Radiologique	TNM		Enumerated	String	OSIRIS:TNMType
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:TNMType
TO_BE_DEFINED	TO_BE_DEFINED	TO_BE_DEFINED		Enumerated	String	OSIRIS:HistologicalGradeType
TO_BE_DEFINED	TO_BE_DEFINED	TO_BE_DEFINED		Enumerated	String	OSIRIS:HistologicalGradeValue
TO_BE_DEFINED	TO_BE_DEFINED	TO_BE_DEFINED		Enumerated	String	OSIRIS:StadeType
TO_BE_DEFINED	TO_BE_DEFINED	TO_BE_DEFINED		Enumerated	String	OSIRIS:StadeValue
UMLS:C0238767	Bilateral	UMLS		Enumerated	String	OSIRIS:Laterality
UMLS:C0205091	Left	UMLS		Enumerated	String	OSIRIS:Laterality
UMLS:C2939193	Median (qualifier value)	UMLS		Enumerated	String	OSIRIS:Laterality
UMLS:C1272460	Not Applicable	UMLS		Enumerated	String	OSIRIS:Laterality
UMLS:C0205090	Right	UMLS		Enumerated	String	OSIRIS:Laterality
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:Laterality
OSIRIS:C37-1	Biology	OSIRIS		Enumerated	String	OSIRIS:AnalysisType
